size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
6,5.69,Eminence Speaker,Alpha-6C,290-399,4,100,93.3,3.5,107,0.2,0.45,0.09,188,0.24,94,81,5500
6,5.69,Eminence Speaker,Alpha-6A,290-400,8,100,93.6,3.5,118,0.2,0.54,0.16,174,0.37,84,85,6000
12,10.95,Eminence Speaker,Delta-12LFA,290-416,8,500,94.6,4.8,51,2.4,0.47,1.27,85,3.43,42,44,3000
8,7.36,Eminence Speaker,Delta Pro-8B,290-508,16,225,99,3,71.4,0.65,0.27,0.07,219,0.14,142,100,5000
18,16.57,Eminence Speaker,Delta Pro-18A,290-520,8,500,96,6.7,28,17.41,0.32,3.13,70,6.51,44,37,250
18,16.57,Eminence Speaker,Delta Pro-18C,290-521,4,500,94.4,6.7,27.23,17.26,0.32,2.94,70,5.97,44,35,200
6.5,5.69,Eminence Speaker,Beta-6A,290-662,8,175,94,4.5,122.57,0.12,0.56,0.11,177,0.24,86,95,4000
10,9.12,Eminence Speaker,Kappalite 3010HO,290-664,8,400,99.9,4.43,61.38,1.31,0.26,0.15,186,0.3,120,40,4000
10,9.12,Eminence Speaker,Kappalite 3010LF,290-665,8,450,92.7,8.52,38.67,2.2,0.27,0.28,113,0.55,72,42,1600
10,9.12,Eminence Speaker,Kappalite 3010MB,290-667,8,400,98.6,5,50.68,1.84,0.2,0.12,199,0.22,133,85,3600
12,10.98,Eminence Speaker,Lab 12C,290-668,4,500,88.9,13,22.85,4.53,0.33,0.9,55,1.89,33,25,120
12,11.06,Eminence Speaker,IMPERO 12A,290-690,8,1100,93,6.22,42.75,2.48,0.32,0.46,106,0.95,65,56,3000
15,13.99,Eminence Speaker,IMPERO 15A,290-692,8,1200,95.6,7.3,42.97,5.03,0.39,1.5,88,3.66,49,46,2000
15,13.99,Eminence Speaker,IMPERO 15C,290-694,4,1200,93.5,7.41,40.27,4.31,0.33,0.85,97,1.78,59,50,2000
18,16.56,Eminence Speaker,IMPERO 18A,290-696,8,1200,95.9,8,33.17,11.19,0.43,4.14,63,11.04,34,39,820
18,16.56,Eminence Speaker,IMPERO 18C,290-698,4,1200,94.5,8.13,31.48,11.19,0.34,2.32,75,5.06,45,36,820
10,9.13,Eminence Speaker,Eminator 2010,290-702,4,200,90.3,5,41,2.17,0.59,2.32,56,4.69,28,45,500
12,11,Eminence Speaker,Eminator 2012,290-703,4,200,91.3,5,41.85,2.3,0.54,1.83,62,4.28,30,35,300
10,9.13,Eminence Speaker,Eminator 2510,290-704,4,300,91.9,3,49.48,1.42,0.47,0.73,83,1.97,41,55,500
12,11,Eminence Speaker,Eminator 2512,290-705,4,300,91.2,6,43.78,1.63,0.43,0.63,81,1.63,42,38,300
15,13.83,Eminence Speaker,Eminator 2515,290-706,4,300,94.4,6,28.73,9.7,0.37,2.46,63,5.76,36,27,200
18,17.5,Pyle Audio,PDW18125,292-2524,8,800,101,7.5,27.12,16.73,0.4,5.19,54,13.47,30,48,1700
21,20.2,Pyle Audio,PDW21250,292-2526,8,1000,100,9,22.4,24.85,0.33,4.79,54,10.49,34,24,1700
6.5,5.55,Visaton,FR16WP - 4,292-500,4,60,86,1,85,0.35,1.02,0.77,79,2.25,48,60,15000
6.5,5.55,Visaton,FR16WP - 4,292-502,4,60,86,1,85,0.35,1.02,0.76,79,2.25,48,60,15000
5,4.33,Visaton,FR13WP - 4,292-506,4,40,85,0.5,100,0.16,1.17,0.29,91,1.33,55,70,16000
5,4.33,Visaton,FR13WP - 4,292-508,4,40,85,0.5,100,0.16,1.17,0.29,91,1.33,55,70,16000
4,3.94,Visaton,FR10WP - 4,292-512,4,20,85,0.5,120,0.07,1.27,0.11,109,0.69,65,80,16000
4,3.94,Visaton,FR10WP - 4,292-514,4,20,85,0.5,120,0.07,1.27,0.11,109,0.69,65,80,16000
5,4.53,Visaton,FR13-4,292-518,4,30,88,1.5,100,0.22,1.25,0.37,91,2.08,54,65,20000
3,2.8,Visaton,FRS8 - 4,292-522,4,30,82,0.25,115,0.04,0.69,0.11,133,0.12,71,100,20000
3,2.8,Visaton,FRS8 - 8,292-524,8,30,82,0.25,120,0.03,1.04,0.06,111,0.2,68,100,20000
2.5,2.4,Visaton,FRS7 - 4,292-528,4,8,88,0.75,250,0.01,1.22,0.02,228,0.09,136,200,20000
2.5,2.4,Visaton,FRS7 - 8,292-530,8,8,88,0.75,250,0.01,1.28,0.02,228,0.1,137,200,20000
2,1.81,Visaton,FRS5 - 8,292-536,8,5,84,0.6,270,0.01,1.15,0.02,247,0.08,150,150,20000
6.5,5.75,Visaton,BG17 - 8,292-546,8,40,93,1.5,120,0.29,0.74,0.96,131,0.98,73,80,20000
8,7.2,Visaton,BG20 - 8,292-548,8,40,92,2,38,3.88,0.44,1.66,68,4.4,35,38,18000
4,3.7,Visaton,W100S-4,292-558,4,30,86,2,65,0.16,0.46,0.08,111,0.21,55,65,15000
4,3.7,Visaton,W100S - 8,292-560,8,30,86,2,63,0.19,0.54,0.152,93,0.35,45,63,15000
5,4.21,Visaton,W130S - 4,292-562,4,50,86,2.25,50,0.49,0.45,0.22,88,0.59,44,50,12000
5,4.21,Visaton,W130S - 8,292-564,8,50,87,2.25,52,0.42,0.47,0.21,88,0.56,43,52,12000
6.5,5.83,Visaton,W170S - 4,292-566,4,50,86,4.25,36,1.34,0.41,0.46,69,1.18,37,36,8000
6.5,5.83,Visaton,W170S - 8,292-568,8,50,86,4.25,36,1.34,0.52,0.94,55,2.31,26,36,8000
8,7.25,Visaton,W200S - 4,292-570,4,75,86,3.5,29,2.3,0.35,0.51,66,1.13,39,29,6000
8,7.25,Visaton,W200S - 8,292-572,8,75,86,3.5,30,2.47,0.33,0.48,73,1,44,30,6000
10,9.2,Visaton,W250S - 4,292-574,4,100,90,5,33,4.77,0.35,1.12,74,2.51,43,33,5500
10,9.2,Visaton,W250S - 8,292-576,4,100,90,5,31,4.27,0.32,0.8,76,1.65,47,31,5500
12,10.91,Visaton,W300S - 4,292-578,4,150,92,5.25,23,10.6,0.25,1.13,72,2.19,47,23,4200
12,10.91,Visaton,W300S - 8,292-580,8,150,92,5.25,23,12,0.33,2.42,55,5.23,33,23,4200
6.5,5.63,Visaton,W170 - 8,292-582,8,40,87,2,57,0.85,0.69,2.26,66,2.54,35,57,6000
8,7.24,Visaton,W200 - 8,292-584,8,50,88,2,46,1.8,0.62,2.6,59,4.43,30,46,8000
10,9.29,Visaton,W250 - 8,292-586,8,90,90,3,37,4.77,0.78,10,40,18.24,22,37,6000
12,10.98,Visaton,W300 - 8,292-588,8,120,91,5.25,32,6.71,0.45,2.92,57,7.88,30,32,2500
12,14,TC Sounds,LMS-R 12,293-658,2+2,1000,84.5,25.4,28,1.38,0.43,0.54,52,1.4,27,15,150
12,11.26,Celestion,FTR12-3070C,294-2000,8,350,96,3,66,1.4,0.33,0.29,157,0.62,94,40,4000
12,11.1,Celestion,FTR12-4080HDX,294-2002,8,1000,93,8,61,0.88,0.37,0.24,130,0.56,73,47,3000
15,13.82,Celestion,FTR15-3070C,294-2004,8,400,99,10,40,7.34,0.36,1.79,89,4.11,51,40,4000
15,13.82,Celestion,FTR15-4080F,294-2006,8,600,97,6,35,6.45,0.24,0.63,115,1.21,74,35,3000
15,13.82,Celestion,FTR15-4080FD,294-2008,8,1000,97,6,34,4.94,0.25,0.51,109,1,70,35,2500
15,13.82,Celestion,FTR15-4080HDX,294-2010,8,1000,96,8,40,3.68,0.33,0.73,97,1.53,59,40,2500
18,16.38,Celestion,FTR18-4080F,294-2012,8,600,97,6,32,9.6,0.3,1.53,85,3.05,54,30,3000
18,16.38,Celestion,FTR18-4080FD,294-2014,8,1000,97,10,26,13.96,0.27,1.74,76,3.44,49,30,2500
18,16.38,Celestion,FTR18-4080HDX,294-2018,8,1000,95,8,35,6.5,0.42,2.44,66,6.37,35,30,2500
21,19.37,Celestion,NTR21-5010JD,294-2042,8,1600,98,9,30.2,12.05,0.29,1.78,82,3.55,52,30,3000
2,2.6,Celestion,AN2075,294-2044,8,20,80,1.5,160,0.01,1.09,0.02,147,0.07,90,160,19000
2.75,2.6,Celestion,AN2775,294-2046,8,20,84,1.5,150,0.02,1.47,0.02,138,0.26,80,160,20000
3,3.1,Celestion,AN3510,294-2048,8,35,87,1.25,98,0.05,0.67,0.06,130,0.11,65,125,20000
5,4.61,Celestion,TF0510,294-2050,8,30,91,1.1,106,0.15,0.46,0.07,181,0.2,89,130,8000
8,7.2,Celestion,TF0818,294-2060,8,100,94,3.5,95,0.44,0.44,0.19,171,0.49,87,70,6000
10,9.02,Celestion,TF1018,294-2066,8,100,96,2,79.8,0.84,0.53,0.61,122,1.47,58,70,6000
10,9.02,Celestion,TF1020,294-2070,8,150,97,2,60.9,1.32,0.32,0.24,152,0.49,94,60,3000
12,11.14,Celestion,TF1218,294-2072,8,100,97,2,62,2.35,0.63,3.47,79,5.87,41,60,4500
12,11.14,Celestion,TF1220,294-2074,8,150,97,2,55,2.99,0.42,1.06,105,2.7,56,60,4000
12,11.14,Celestion,TF1225,294-2078,8,250,97,2.5,63,1.92,0.5,1.18,100,3.08,49,50,4000
12,11.14,Celestion,TF1225e,294-2080,8,300,96,3.5,61.2,1.79,0.4,0.59,121,1.45,65,50,3000
15,13.82,Celestion,TF1525,294-2084,8,300,98,2.5,47,5.38,0.59,5.83,64,12.07,33,40,3000
15,13.86,Celestion,TF1525e,294-2088,8,300,97,3.5,49.8,4.53,0.5,2.63,81,7.09,40,45,3500
15,13.86,Celestion,TF1530,294-2092,8,400,99,2,45,4.99,0.38,1.5,92,3.67,51,40,3000
18,16.38,Celestion,CF18VJD,294-2100,8,1600,97,9,33.1,5.79,0.31,0.98,85,1.96,53,25,1500
15,14,Peavey,Pro 15,294-3122,8,200,96.4,2.5,34.4,11.71,0.43,4.24,66,11.25,36,40,3000
12,11,Peavey,Pro 12,294-3124,8,200,94.3,2.5,48.4,3.05,0.51,2.01,75,5.12,37,50,4000
10,9,Peavey,Pro 10,294-3126,8,200,94.3,2.5,67.7,0.89,0.4,0.28,136,0.68,74,50,4000
12,11.3,RCF USA,L12P110K,294-850,8,500,101,3,44,3.46,0.13,0.1,259,0.16,184,60,2000
12,11.3,RCF USA,L12L750,294-852,8,350,101,3.5,62,1.84,0.27,0.23,183,0.45,117,60,2000
15,13.9,RCF USA,L15P530,294-858,8,350,100,6.5,45,5.65,0.48,2.95,76,8.14,38,40,3000
15,13.9,RCF USA,MB15N401,294-870,8,850,100,5.5,42,4.8,0.19,0.29,172,0.53,115,40,2000
15,13.9,RCF USA,MB15H401,294-872,8,700,100,7.5,44,4.27,0.3,0.67,117,1.33,74,40,2000
15,13.9,RCF USA,LF15G401,294-874,8,800,97,8.5,36,5.3,0.26,0.59,111,1.16,71,30,1500
15,13.9,RCF USA,LF15N401,294-878,8,900,97,8.8,34,5.65,0.22,0.45,123,0.84,80,35,1500
18,16.4,RCF USA,L18S801,294-882,8,700,99.5,6.8,39,7.27,0.29,1.05,107,2.09,68,38,1000
18,16.7,RCF USA,LF18G401,294-888,8,900,97.5,8.5,33,9.46,0.29,1.36,91,2.7,58,30,1000
8,7.17,Dayton Audio,PA200-8,295-025,8,250,92,3,71.3,0.5,0.59,0.57,96,1.1,48,70,9000
15,13.77,Dayton Audio,DVC385-88,295-190,8+8,350,90,15.1,19,8.2,0.36,2.05,42,4.74,24,20,450
5.25,4.72,Dayton Audio,DC130A-8,295-303,8,40,87.3,2.5,49.8,0.49,0.39,0.15,102,0.36,56,50,5000
5.25,4.72,Dayton Audio,DC130B-8,295-304,8,40,87.7,2.5,50.5,0.5,0.38,0.14,107,0.32,60,50,5000
5.25,4.72,Dayton Audio,DC130B-4,295-307,4,40,88.6,2.5,50.5,0.5,0.34,0.1,120,0.22,72,50,5000
6.5,5.69,Dayton Audio,DC160-4,295-309,4,60,85.9,3.4,30.3,1.19,0.33,0.23,73,0.48,45,30,4000
6.5,5.71,Dayton Audio,PM180-8,295-343,8,30,94,4.6,55.2,1.05,0.29,0.16,150,0.31,95,55,12000
8,7.13,Dayton Audio,PM220-8,295-345,8,40,95,4.6,43.1,2.6,0.34,0.52,103,1.1,62,43,10000
12,11,Dayton Audio,TS320D-4,295-403,4,500,86.4,18,24.2,3.1,0.41,0.87,50,2.61,27,24,500
15,14,Dayton Audio,TS400D-4,295-405,4,800,87.8,18.7,18.8,8.14,0.36,1.67,44,4.58,25.55,18,300
3,2.76,Dayton Audio,DS90-8,295-422,8,20,84.5,2.5,74.7,0.06,0.4,0.2,148,0.05,80,80,13000
4,3.69,Dayton Audio,DS115-8,295-424,8,35,85.5,4.1,58.9,0.14,0.38,0.04,124,0.09,70,60,8000
5,4.39,Dayton Audio,DS135-8,295-426,8,50,86.9,4.85,50.9,0.27,0.36,0.07,113,0.15,66,50,7000
6.5,5.67,Dayton Audio,DS175-8,295-428,8,70,88.6,5.25,40.9,0.61,0.3,0.1,106,0.2,67,40,4500
8,7.09,Dayton Audio,DS215-8,295-430,8,80,90.1,5.5,36.7,1.38,0.34,0.28,87,0.6,52,35,4000
10,8.94,Dayton Audio,DS270-8,295-432,8,100,90.1,5.5,30.7,2.99,0.44,1.28,55,3.38,28,30,3000
12,10.71,Dayton Audio,DS315-8,295-434,8,120,90.4,5.5,24.3,5.01,0.32,0.93,60,1.9,37,25,2500
15,13.77,Dayton Audio,IB385-8,295-455,8,350,88.2,14.3,21.5,8.79,0.59,8.61,30,19.39,15,20,500
8,7.28,Dayton Audio,RSS210HO-4,295-458,4,300,82.3,11,32.7,0.6,0.48,0.53,51,1.68,27,30,1500
8,7.28,Dayton Audio,RSS210HO-8,295-459,8,300,83.2,12,28.9,0.91,0.4,0.28,58,0.7,32,30,1500
10,9.25,Dayton Audio,RSS265HO-44,295-463,4+4,600,82.5,13.25,27.9,0.99,0.48,0.55,46,1.5,22,25,600
18,16.69,Dayton Audio,RSS460HO-4,295-472,4,900,89.2,12.75,19.6,10.52,0.39,3.04,40,7.5,23,20,500
10,9.32,Dayton Audio,UM10-22,295-510,2+2,500,83.4,19,26.2,1.24,0.46,0.585,45,1.55,22,25,1500
12,10.73,Dayton Audio,UM12-22,295-512,2+2,600,84,19,24.9,2.53,0.59,2.8,34,5.58,17,20,1000
15,13.78,Dayton Audio,UM15-22,295-514,2+2,800,86.5,19,19.5,7.92,0.47,3.98,33,11.1,17,15,1000
10,9.37,Aurum Cantus,AC-250SW,296-438,8,180,88,8,35,1.48,0.45,0.67,62,1.77,31,35,2500
5,4.88,Aurum Cantus,AC120/50CK,296-440,8,150,90,6,43,0.42,0.18,0.02,191,0.04,130,43,7000
5.25,5,Aurum Cantus,AC130/50CK,296-442,8,150,89,6,37,0.78,0.21,0.06,138,0.11,91,37,4500
6.5,6.06,Aurum Cantus,AC165/50CK,296-444,8,150,89,6,37,0.85,0.19,0.05,156,0.09,105,37,4500
6.5,6.06,Aurum Cantus,AC165/50C2C,296-446,8,150,90,6,37,1.13,0.19,0.07,155,0.12,104,37,4000
7,6.52,Aurum Cantus,AC180/50C2C,296-450,8,150,90,6,35,1.59,0.3,0.25,92,0.51,58,35,5000
8,7.48,Aurum Cantus,AC200/50C2C,296-452,8,150,90,6,27,4.59,0.26,0.53,82,1.04,52,27,4500
10,9.134,Aurum Cantus,AC250/75C2C,296-454,8,250,90,8,23,6.82,0.28,0.88,66,1.73,42,23,3000
12,11.1,Aurum Cantus,AC500/75C2C,296-458,8,250,91,8.5,22,8.19,0.35,1.87,50,4.21,29,22,2800
3,2.76,Fountek,FE85,296-717,8,12,85.7,1.5,125,0.03,0.52,0.02,196,0.05,94,100,25000
3,2.87,Fountek,FR88EX,296-719,8,15,84.3,3,95,0.04,0.47,0.2,161,0.05,79,95,20000
3,2.87,Fountek,FR89EX,296-721,8,25,83.6,5,97,0.04,0.47,0.02,166,0.05,82,70,20000
5,4.53,Fountek,FR135EX,296-723,8,40,85.1,5,61.5,0.22,0.49,0.13,100,0.34,48,50,26000
2,2.02,Fountek,FR58EX,296-725,8,15,82.3,2.9,134,0.01,0.55,0.01,196,0.02,95,130,20000
5.25,4.53,Fountek,FW146,296-727,8,35,86.1,3.6,50,0.35,0.4,0.12,98,0.29,52,45,4000
6.5,5.75,Fountek,FW168,296-729,8,50,87.3,4.6,45,0.58,0.39,0.18,91,0.44,49,40,4000
8,7.28,Fountek,FW200,296-731,8,75,88,4.35,35.7,2.18,0.52,1.55,54,3.82,26,35,3000
4,3.7,Morel,CAW 428,297-080,8,150,88,4,74,0.16,0.38,0.05,154,0.11,85,45,3000
5,4.76,Morel,CAW 538,297-082,8,150,86,3,49,0.29,0.38,0.08,103,0.19,57,35,3500
6,5.512,Morel,CAW 638,297-084,8,150,86,4.25,43,0.55,0.46,0.26,74,0.7,37,30,5000
9,7.8,Morel,CAW 938,297-086,8,150,86,4.25,29,2.47,0.52,1.72,44,4.28,21,20,3000
6,5.51,Morel,TiW 634Ft,297-100,4,150,88,4.25,34,0.92,0.39,0.28,69,0.68,38,40,5000
6,5.51,Morel,TiW 638Ft,297-101,8,150,86,4.25,35,0.91,0.45,0.41,62,1.08,31,40,5000
6,5.51,Morel,TiW 634Nd,297-102,4,150,88,5.5,34,0.9,0.29,0.13,95,0.25,60,40,4500
6,5.51,Morel,TiW 638Nd,297-103,8,150,87,5.25,36,0.74,0.35,0.17,82,0.37,48,40,4500
6,5.51,Morel,TiCW 634Nd,297-104,4,150,88,5.5,34,0.9,0.29,0.13,95,0.25,60,40,4500
6,5.51,Morel,TiCW 638Nd,297-105,8,150,87,5.25,33,1.02,0.29,0.14,93,0.28,59,40,4500
2,1.89,HiWave,BMR5,297-212,8,5,80,2.5,176,0.011,1.2,0.03,153,0.1,97,150,16000
3.5,3.4,HiWave,HIBM65C20-8,297-2156,8,20,81,3.5,86,0.04,0.89,0.1,84,0.2,50,80,20000
3,2.75,Hi-Vi,B3S,297-427,8,15,82,3,100,0.04,0.88,0.1,98,0.19,57,300,15000
3,2.875,Hi-Vi,B3N,297-428,8,10,81,3,77,0.06,0.86,0.16,76,0.28,44,100,7000
3,3,Hi-Vi,M3N,297-433,8,15,82,3,100,0.05,0.92,0.12,95,0.27,57,100,8000
5,4.875,Factory Buyouts,W5-876SE,299-135,16,40,87,5,57,0.3,0.38,0.08,120,0.2,67,60,2000
5.25,4.65,Vifa,NE149W-04,264-1082,4,35,89.1,5,52,0.31,0.33,0.05,135,0.12,82,50,5000
6.5,5.7,Vifa,NE180W-04,264-1096,4,80,89.8,5,39,0.9,0.29,0.11,115,0.25,73,40,4000
4,3.75,Tang Band,W4-656SB,264-820,8,45,87,3,65,0.18,0.35,0.03,159,0.09,94,65,15000
4,3.75,Tang Band,W4-1052SA,264-828,4,20,90,3.4,63,0.26,0.44,0.09,122,0.27,65,60,15000
5.25,4.75,Tang Band,W5-1138SA,264-831,4,40,82,9.25,45,0.24,0.49,0.11,79,0.36,39,45,1500
6.5,5.5,Tang Band,W6-1139SC,264-832,4,50,83,11.5,35,0.52,0.37,0.11,81,0.31,46,38,800
8,7.25,Tang Band,W8-1363SA,264-833,4,120,84,12,30,0.66,0.29,0.08,88,0.18,56,30,800
6x9,5.50x8.25,Tang Band,W69-1042J,264-837,8,90,87,7,35,1.34,0.35,0.25,85,0.65,51,35,350
4,3.75,Tang Band,W4-1337S,264-848,8,25,87,3,70,0.17,0.37,0.04,162,0.1,93,70,20000
5.25,4.875,Tang Band,W5-704S,264-850,8,25,88,3,55,0.41,0.37,0.1,127,0.27,73,55,9000
8,7.25,Tang Band,W8-740C,264-854,4,150,84,12,28,0.81,0.3,0.11,80,0.25,50,28,1000
10,9.1875,Tang Band,WT-1427G,264-862,4,120,85,9.5,25,1.35,0.29,0.14,137,0.32,88,25,400
4,4.5,Tang Band,W4-1658SB,264-878,4,45,87,4.5,55,0.26,0.39,0.06,121,0.18,67,55,6000
4,4.25,Tang Band,W4-1757SB,264-881,6,30,86,3,75,0.15,0.46,0.06,139,0.18,72,75,20000
4,4.5,Tang Band,W4-1798S,264-889,4,40,87,3,60,0.26,0.3,0.03,171,0.08,107,60,20000
4,3.8,Tang Band,W4-1805S,264-890,6,35,90,0.45,80,0.2,0.24,0.02,285,0.04,185,80,8500
8,7.5,Tang Band,W8-1747A,264-892,4,350,84,8,30,0.82,0.41,0.23,63,0.68,34,30,1000
8,7.5,Tang Band,W8-1772,264-893,8,30,95,3,42,3.34,0.27,0.34,133,0.78,85,42,20000
8,7.5,Tang Band,W8-1808,264-894,8,30,93,5,45,3.11,0.44,1.04,87,3.27,47,45,20000
8,7.19,Tang Band,W8-1853,264-895,4,100,86,5.25,37,0.63,0.31,0.09,102,0.21,64,37,350
15,13.75,PE,Mach One,290-184,8,125,90,2.5,22,12.09,0.56,7.54,35,23.32,17,22,1200
2.5,2.05,Dayton Audio,ND65-4,290-204,4,15,79.4,3.5,84.1,0.03,0.7,0.05,102,0.08,53,85,20000
2.5,2.05,Dayton Audio,ND65-8,290-206,8,15,78.3,3.5,80.8,0.02,0.62,0.02,111,0.05,55,80,20000
3.5,3,Dayton Audio,ND90-4,290-208,4,20,80.6,4,77,0.05,0.73,0.1,90,0.16,48,80,15000
3.5,3,Dayton Audio,ND90-8,290-210,8,20,82.1,4,80,0.05,0.71,0.1,96,0.15,50,80,15000
4,3.625,Dayton Audio,ND105-4,290-212,4,30,82.6,4,53.8,0.16,0.55,0.1,84,0.3,41,60,10000
4,3.625,Dayton Audio,ND105-8,290-214,8,30,83.2,4,65.3,0.13,0.66,0.18,85,0.35,43,60,10000
5.25,4.75,Dayton Audio,ND140-8,290-218,8,40,85.7,4,53.8,0.36,0.61,0.36,75,0.84,37,54,8000
6.5,5.75,Pyramid,WX65X,290-270,4,150,87.1,2,69.5,0.3,0.58,0.24,102,0.62,50,70,3500
8,7,Pyramid,WX85X,290-272,4,150,87.7,2.3,54.3,0.61,0.57,0.23,81,0.62,40,54,3200
10,9,Pyramid,WX102X,290-274,4,200,88.1,3.55,40.1,1.748,0.56,1.22,61,3.37,30,40,3000
12,11,Pyramid,WX120X,290-276,4,250,87.5,2.3,38,1.81,0.55,1.19,59,3.37,29,38,2000
6.5,5.625,Goldwood,GW-206/4,290-300,4,50,91,3.5,60,0.42,0.61,0.41,84,0.96,41,60,3000
5.5,4.75,Goldwood,GW-S525-4,290-301,4,70,87,2,72,0.15,0.88,0.23,77,0.7,42,50,5500
5.5,4.5625,Goldwood,GW-S525-8,290-302,8,70,87,2,81,0.13,0.84,0.21,88,0.55,48,50,5500
6.5,5.625,Goldwood,GW-206/8,290-305,8,50,87.3,3.5,62.5,0.42,0.75,0.79,69,1.43,36,60,3000
6.5,6.125,Goldwood,GW-6PC/8,290-306,8,110,87,4,59,0.27,0.46,0.1,110,0.33,57,46,3000
6.5,6.125,Goldwood,GW-6PC/4,290-307,4,110,85,4,46,0.35,0.87,0.533,49,1.59,27,46,3000
6.5,5.875,Goldwood,GW-S650/4,290-308,4,50,90,2.5,55,0.5,0.71,1,66,1.53,35,35,5000
6.5,5.875,Goldwood,GW-S650/8,290-309,8,50,86,2.5,55,0.5,0.83,0.81,60,2.07,33,35,5000
8,7.125,Goldwood,GW-208/4,290-310,4,50,91,3.5,53,0.8,0.7,1.5,65,2.38,34,55,2500
8,7.125,Goldwood,GW-8PC-30-4,290-312,4,120,91,3.5,45,0.75,0.62,0.27,84,0.85,44,45,7000
8,7.125,Goldwood,GW-8PC-30-8,290-314,8,120,88,3.5,55,0.51,0.56,0.36,84,0.98,41,45,7000
8,7.125,Goldwood,GW-208/8,290-315,8,100,88,3.5,53,0.8,0.86,1.23,57,3.55,31,55,2500
10,9.125,Goldwood,GW-210/4,290-320,4,110,91,3.5,41,2.19,1.21,1.95,43,18.87,23,40,2200
10,9.125,Goldwood,GW-10PC-40-4,290-322,4,140,93,3.55,45,1.12,0.4,0.29,96,0.86,53,40,2500
10,9.125,Goldwood,GW-10PC-40-8,290-324,8,140,90,3.55,45,1.12,0.47,0.45,82,1.47,42,36,5000
10,9.125,Goldwood,GW-210/8,290-325,8,110,86,3.5,41,2.19,1.19,2.01,43,18.27,23,40,2200
12,11,Goldwood,GW-212/4,290-330,4,120,90,3.5,38,3.59,1.17,3.24,40,28.98,21,35,1500
12,11.125,Goldwood,GW-12PC-50-4,290-332,4,140,93,3.5,32,2.79,0.39,0.68,70,1.96,39,32,2000
12,11.125,Goldwood,GW-12PC-50-8,290-334,8,140,90,3.5,32,2.79,0.49,1.27,56,4.22,28,32,4000
12,11,Goldwood,GW-212/8,290-335,8,120,87,3.5,38,3.59,1.44,2.32,42,43.39,20,35,1500
15,13.75,Goldwood,GW-15PC-75-4,290-336,4,200,95,3.5,33,4.42,0.43,1.39,66,4.31,36,24,2000
15,13.75,Goldwood,GW-15PC-75-8,290-338,8,200,92,3.5,33,5.4,0.47,2.15,60,7.11,32,30,1500
15,13.75,Goldwood,GW-215/8,290-345,8,135,87.8,3.5,29,12.95,1.95,3.93,39,282.1,15,27,1200
15,13.75,Goldwood,GW-215/40/8,290-346,8,150,90,3.5,29,9.69,1.03,8.67,32,61.07,17,20,2500
6.5,5.625,Goldwood,GW-6028,290-350,8,60,85,4.4,58,0.41,0.86,0.64,63,1.82,34,55,3000
6.5,5.625,Goldwood,GW-6024,290-351,4,60,90,4.4,54,0.42,0.57,0.31,81,0.84,40,55,3000
6.5,5.625,Goldwood,GW-406D DVC,290-352,8+8,60,91,2,50,0.47,0.63,0.52,68,1.14,34,59,6000
8,7.25,Goldwood,GW-8028,290-355,8,65,85,4.6,39,1.39,0.94,1.85,41,7.34,23,35,2500
8,7.25,Goldwood,GW-8024,290-356,4,65,89,4.6,44,1.08,0.73,1.04,52,3.49,27,35,2500
8,7.125,Goldwood,GW-408D DVC,290-357,8+8,100,91,3.5,51,0.73,0.64,0.87,68,1.83,34,44,3000
10,9.125,Goldwood,GW-1038,290-360,8,80,86,4.6,33,3.19,1.09,3.24,35,22.44,19,30,2000
10,9.125,Goldwood,GW-1034,290-361,4,80,90,4.6,34,2.87,0.88,3.94,37,13.32,20,30,2000
10,9.125,Goldwood,GW-410D DVC,290-362,8+8,110,96,3,40,2,0.61,1.9,56,4.56,28,41,2000
12,11,Goldwood,GW-1248,290-365,8,100,87,5,33,3.42,0.89,4.53,36,16.23,20,30,1500
12,11,Goldwood,GW-1244,290-366,4,100,90,5,30,4.22,0.68,5.99,39,11.87,20,30,1500
12,11,Goldwood,GW-412D DVC,290-367,8+8,130,94,3.5,38,3.83,0.73,6.34,46,12.37,24,33,1500
4.5,4,Goldwood,GW-204/4S,290-370,4,40,86,1.5,138,0.04,1.69,0.02,161,0.66,71,100,10000
4.5,4,Goldwood,GW-204/8S,290-372,8,40,84,1.5,138,0.04,1.56,0.02,154,0.57,72,100,10000
4,3.75,Goldwood,GW-4028/S,290-373,8,40,84,1.5,83,0.07,0.69,0.12,103,0.2,53,80,6000
5.25,4.75,Goldwood,GW-205/4S,290-374,4,70,90,2,85,0.18,0.68,0.29,107,0.51,55,80,6000
5.25,4.75,Goldwood,GW-205/8S,290-376,8,70,87,2,85,0.18,0.81,0.3,94,0.7,51,80,6000
5.25,4.5,Goldwood,GW5028/S,290-377,8,70,85,2,80,0.15,0.9,0.22,85,0.73,46,80,4000
10,9,PE,SQ.Frame white,290-910,8,75,89,4.25,32.5,4.85,0.62,4.68,46,11.4,23,32,3500
10,9,PE,SQ.Frame black,290-912,8,75,89,4.25,32.5,4.85,0.62,4.68,46,11.4,23,32,3500
12,11,PE,SQ.Frame white,290-914,8,80,90,4.25,34.8,5.87,0.69,8.32,45,17,23,35,3000
