size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
8,7.17,Selenium,8MB4P,264-466,8,250,97,3.25,105,0.33,0.76,1.04,112,1.2,63,80,5000
8,7.25,GRS,8FR-8,292-430,8,60,91,3,39,2.26,0.4,0.71,78,1.76,43,39,16000
8,7.13,PRV Audio,8MB450,294-2710,8,225,93,3.5,72,0.49,1.24,0.83,65,4.56,39,72,4000
8,7.13,PRV Audio,8MB500-NDY,294-2711,8,250,95,3.5,62.58,0.6,0.52,0.43,96,1.04,46,62,4000
8,7.24,PRV Audio,8MB600,294-2712,8,300,95,6,76,0.34,0.51,0.22,119,0.57,57,76,6000
8,7,PRV Audio,8MR400-NDY,294-2713,8,200,95.6,3.5,108.3,0.17,1.06,0.35,100,1.17,61,108,5000
8,7.4,B&C Speakers,8NW51,294-655,8,200,97,6,74,0.4,0.17,0.02,333,0.04,227,70,3000
8,7.4,B&C Speakers,8BG51,294-696,8,250,92,6.5,52,0.63,0.4,0.21,102,0.53,55,50,4000
8,7.3125,GRS,8PF-8,292-408,4,100,87,3,51,0.95,0.93,1.3,54,4.91,30,55,6000
8,7.625,GRS,8PR-8,292-428,8,65,85,3,52,0.76,1.11,0.81,54,5.54,29,40,5000
6,5.59,FaitalPRO,6FE200,294-1151,8,130,95,4.62,120,0.13,0.71,0.45,135,0.41,74,85,6000
6,5.59,FaitalPRO,6FE200,294-1152,8,130,95,4.67,120,0.11,0.67,0.25,143,0.31,76,85,6000
6.5,5.66,PRV Audio,6MB200,294-2700,8,100,93,3.5,105.6,0.17,1.01,0.36,97,1.14,59,140,4500
6.5,5.6,PRV Audio,6MB250-NDY,294-2701,8,125,95,3.5,107.7,0.15,0.7,0.46,123,0.46,67,105,6000
6.5,5.7,B&C Speakers,6NDL38,294-646,8,150,92,6,72,0.25,0.42,0.09,135,0.24,71,70,6000
6.5,5.625,GRS,6PF-8,292-406,4,90,87,3,82,0.25,0.95,0.34,86,1.35,47,70,8000
6.5,5.625,GRS,6PR-8,292-426,8,60,85,3,75,0.24,1.02,0.29,78,1.48,43,60,8000
5.25,4.75,GRS,5PF-8,292-405,4,70,84,2.5,100,0.11,1.4,0.08,107,1.26,54,90,8000
4.5,4.01,GRS,4FR-8,292-434,8,15,91,1,100,0.11,0.82,0.05,135,0.1,95,100,10000
